well,fit_error_occured,term,estimate,std.error,statistic,p.value,conf.low,conf.high,est_error_occured,mu_type
A_1_Mu_0.5_Lag_4,FALSE,A,0.9980783354027195,0.0038228715736381056,261.0807912788135,4.6097374390324165e-135,0.990490252288627,1.0056869117423617,FALSE,other
A_1_Mu_0.5_Lag_4,FALSE,Mu,0.49149609575905084,0.010348828195091418,47.49292253128463,5.213678431745301e-67,0.471168651450008,0.5131948339235728,FALSE,Mu_a
A_1_Mu_0.5_Lag_4,FALSE,Lag,3.990209083380741,0.025412459314580495,157.0178247601303,1.4206994286154764e-114,3.938538921014792,4.040867376365849,FALSE,other
A_1_Mu_0.5_Lag_4,FALSE,C,0.0012488574697501966,0.003630741805561298,0.3439675792526173,0.7316471620828795,-0.005974457494239095,0.008452034914735227,FALSE,other
A_1_Mu_0.5_Lag_6,FALSE,A,0.9995087011184856,0.0031924617584817515,313.08400122976724,2.165595696702615e-142,0.9931681082535864,1.0058578112004577,FALSE,other
A_1_Mu_0.5_Lag_6,FALSE,Mu,0.4982065245157932,0.01053787836247149,47.277687915819406,7.823164564193355e-67,0.47800090914795856,0.5197671860665584,FALSE,Mu_a
A_1_Mu_0.5_Lag_6,FALSE,Lag,6.009402333381859,0.024594546873913024,244.3388107205146,2.1706356438107942e-132,5.95988963907958,6.0581182628176204,FALSE,other
A_1_Mu_0.5_Lag_6,FALSE,C,1.9405708813637654e-4,0.002956068207550628,0.06564702656072018,0.9477997608195011,-0.0056861339298188915,0.006065875888088952,FALSE,other
A_1_Mu_0.5_Lag_8,FALSE,A,0.9984691679928068,0.0026700706088650184,373.9486007140581,1.4662079191334319e-149,0.9931628386619666,1.003780076983593,FALSE,other
A_1_Mu_0.5_Lag_8,FALSE,Mu,0.4966963564579673,0.009871310084494303,50.31716684071854,2.9549273262637476e-69,0.47736211666858414,0.517244104866976,FALSE,Mu_a
A_1_Mu_0.5_Lag_8,FALSE,Lag,7.987078038335412,0.022869850376085108,349.24050253898736,8.417239741216846e-147,7.9404910602542165,8.032905420975597,FALSE,other
A_1_Mu_0.5_Lag_8,FALSE,C,0.001995574505685755,0.0024082828054009776,0.8286296365237276,0.40943560397201606,-0.00279335151171269,0.006780209266391163,FALSE,other
A_1_Mu_0.5_Lag_10,FALSE,A,1.0018743084575124,0.002628462657787304,381.16360736161704,2.482210371582245e-150,0.9966571040956106,1.0070945495138903,FALSE,other
A_1_Mu_0.5_Lag_10,FALSE,Mu,0.5072921511986624,0.010861315976654207,46.70632474822191,2.3165062826376366e-66,0.48661077978163403,0.5293876182233369,FALSE,Mu_a
A_1_Mu_0.5_Lag_10,FALSE,Lag,9.994543970512915,0.0240051294103869,416.3503474465055,6.770024182478799e-154,9.946723525624531,10.04170049901911,FALSE,other
A_1_Mu_0.5_Lag_10,FALSE,C,-0.003302056230981073,0.002305560354770246,-1.4322141791469736,0.1554351303141142,-0.007882316813174193,0.0012754033830575354,FALSE,other
A_1_Mu_0.6_Lag_2,FALSE,A,0.9992974176573982,0.004731809496899432,211.18716176384495,1.641671047447431e-126,0.9898831903174601,1.0087596612058305,FALSE,other
A_1_Mu_0.6_Lag_2,FALSE,Mu,0.6050771109045017,0.012810455739024014,47.23306674104324,8.511607966951273e-67,0.5803429542505396,0.6315588149894297,FALSE,Mu_a
A_1_Mu_0.6_Lag_2,FALSE,Lag,2.005749769730126,0.021659842931499793,92.60223059204067,2.1859929229030947e-93,1.961600579202301,2.0492456744678744,FALSE,other
A_1_Mu_0.6_Lag_2,FALSE,C,0.0019265951653156983,0.004605987640226735,0.41828057645870265,0.6767062928340892,-0.007285076570366794,0.011089967691222958,FALSE,other
A_1_Mu_0.6_Lag_4,FALSE,A,0.9963587305920917,0.0038568513605456156,258.33474963140407,1.230718758961828e-134,0.9887092490008416,1.0040236916035252,FALSE,other
A_1_Mu_0.6_Lag_4,FALSE,Mu,0.6003086551913518,0.01421671244449623,42.22556076413796,1.8050358405111966e-62,0.5730218523068863,0.6296521159402706,FALSE,Mu_a
A_1_Mu_0.6_Lag_4,FALSE,Lag,3.9968818931005528,0.023072548450050342,173.23105428745268,1.5738502022375622e-118,3.950655313124391,4.042243834116313,FALSE,other
A_1_Mu_0.6_Lag_4,FALSE,C,0.0016075045562240313,0.003666929118919506,0.4383789552762605,0.6621282325583764,-0.005680030010003289,0.008879646992077916,FALSE,other
A_1_Mu_0.6_Lag_6,FALSE,A,0.9963774862485291,0.0031481166811963717,316.499541519496,7.902208207356965e-143,0.9901340599119954,1.0026273559736119,FALSE,other
A_1_Mu_0.6_Lag_6,FALSE,Mu,0.5839339781463425,0.013255585116431157,44.051920229648594,4.2351453582827944e-64,0.5589533513977837,0.6106855724604332,FALSE,Mu_a
A_1_Mu_0.6_Lag_6,FALSE,Lag,5.978964037764082,0.022307498560478298,268.0248536856069,4.025826138212137e-136,5.934924085234058,6.022309975259048,FALSE,other
