well,term,estimate
A_2_Mu_0.8_Lag_2,Mu,0.7910769454482162
A_2_Mu_0.8_Lag_2,A,2.013191237943933
A_2_Mu_0.8_Lag_4,Lag,3.977672851393513
A_2_Mu_0.8_Lag_4,Mu,0.7763700233855318
A_2_Mu_0.8_Lag_4,A,2.0119957672272486
A_2_Mu_0.8_Lag_6,Lag,5.981440856880588
A_2_Mu_0.8_Lag_6,Mu,0.7970865083625905
A_2_Mu_0.8_Lag_6,A,2.0203596149169316
A_2_Mu_0.8_Lag_8,Lag,8.00725276102377
A_2_Mu_0.8_Lag_8,Mu,0.793951628305973
A_2_Mu_0.8_Lag_8,A,2.014180976965878
A_2_Mu_0.8_Lag_10,Lag,10.024698631560947
A_2_Mu_0.8_Lag_10,Mu,0.8238121859994837
A_2_Mu_0.8_Lag_10,A,2.0138482489423426
A_2_Mu_0.9_Lag_0,Lag,-0.055113200895328715
A_2_Mu_0.9_Lag_0,Mu,0.8470338514366321
A_2_Mu_0.9_Lag_0,A,2.01478961360774
A_2_Mu_0.9_Lag_2,Lag,1.9518158360546085
A_2_Mu_0.9_Lag_2,Mu,0.8435051129732827
A_2_Mu_0.9_Lag_2,A,2.0168679229317967
A_2_Mu_0.9_Lag_4,Lag,3.9780254936805446
A_2_Mu_0.9_Lag_4,Mu,0.8665050199660808
A_2_Mu_0.9_Lag_4,A,2.017308098631599
A_2_Mu_0.9_Lag_6,Lag,5.970099902476514
A_2_Mu_0.9_Lag_6,Mu,0.8612557932913106
A_2_Mu_0.9_Lag_6,A,2.0115166464731558
A_2_Mu_0.9_Lag_8,Lag,7.960054106252984
A_2_Mu_0.9_Lag_8,Mu,0.8632528630274862
A_2_Mu_0.9_Lag_8,A,2.0175961149020685
A_2_Mu_0.9_Lag_10,Lag,9.94981578387154
A_2_Mu_0.9_Lag_10,Mu,0.8503374695089744
A_2_Mu_0.9_Lag_10,A,2.014199328877689
A_2_Mu_1_Lag_0,Lag,-0.11684266119875111
A_2_Mu_1_Lag_0,Mu,0.8968215522639832
A_2_Mu_1_Lag_0,A,2.0129325275677012
A_2_Mu_1_Lag_2,Lag,1.9462264788673003
A_2_Mu_1_Lag_2,Mu,0.9230276276797599
A_2_Mu_1_Lag_2,A,2.016306289643944
A_2_Mu_1_Lag_4,Lag,3.940722994292165
A_2_Mu_1_Lag_4,Mu,0.9348344014411606
A_2_Mu_1_Lag_4,A,2.019379706550631
A_2_Mu_1_Lag_6,Lag,5.907829569035631
A_2_Mu_1_Lag_6,Mu,0.9012488185796423
A_2_Mu_1_Lag_6,A,2.0154420858160527
A_2_Mu_1_Lag_8,Lag,7.940775146791235
A_2_Mu_1_Lag_8,Mu,0.920020260705582
A_2_Mu_1_Lag_8,A,2.017755955409088
A_2_Mu_1_Lag_10,Lag,9.978224224783203
A_2_Mu_1_Lag_10,Mu,0.9635691791775575
A_2_Mu_1_Lag_10,A,2.015487961566957
A_3_Mu_0.1_Lag_0,Lag,0.02850651066862242
A_3_Mu_0.1_Lag_0,Mu,0.10082187833640255
A_3_Mu_0.1_Lag_0,A,2.8968517467842174
A_3_Mu_0.1_Lag_2,Lag,2.26074181323564
A_3_Mu_0.1_Lag_2,Mu,0.10355269237807364
A_3_Mu_0.1_Lag_2,A,2.88165678101171
A_3_Mu_0.1_Lag_4,Lag,4.190966866766563
A_3_Mu_0.1_Lag_4,Mu,0.10140915846688602
A_3_Mu_0.1_Lag_4,A,2.843182654691349
A_3_Mu_0.1_Lag_6,Lag,6.129769041438959
A_3_Mu_0.1_Lag_6,Mu,0.1012608050408555
A_3_Mu_0.1_Lag_6,A,2.8427352262804355
A_3_Mu_0.1_Lag_8,Lag,7.9251087490960606
A_3_Mu_0.1_Lag_8,Mu,0.0993221084367973
A_3_Mu_0.1_Lag_8,A,2.7946657779620474
A_3_Mu_0.1_Lag_10,Lag,10.113910644835993
A_3_Mu_0.1_Lag_10,Mu,0.10096941162650097
A_3_Mu_0.1_Lag_10,A,2.7545332262495856
A_3_Mu_0.2_Lag_0,Lag,-0.1427028512360607
A_3_Mu_0.2_Lag_0,Mu,0.1945749857299949
A_3_Mu_0.2_Lag_0,A,3.003675047038855
A_3_Mu_0.2_Lag_2,Lag,2.3024728662442824
A_3_Mu_0.2_Lag_2,Mu,0.21247410835074843
A_3_Mu_0.2_Lag_2,A,3.0068517288942767
A_3_Mu_0.2_Lag_4,Lag,3.892675667143982
A_3_Mu_0.2_Lag_4,Mu,0.19640024075581117
A_3_Mu_0.2_Lag_4,A,2.995075347412728
A_3_Mu_0.2_Lag_6,Lag,6.013196976455656
A_3_Mu_0.2_Lag_6,Mu,0.20016426256948652
A_3_Mu_0.2_Lag_6,A,3.0016503129305923
A_3_Mu_0.2_Lag_8,Lag,8.078215458114844
A_3_Mu_0.2_Lag_8,Mu,0.20186788707083925
A_3_Mu_0.2_Lag_8,A,2.998464644966973
A_3_Mu_0.2_Lag_10,Lag,10.02392253464788
A_3_Mu_0.2_Lag_10,Mu,0.1991476445834133
A_3_Mu_0.2_Lag_10,A,2.9941934627407214
A_3_Mu_0.3_Lag_0,Lag,-0.06087313726038909
A_3_Mu_0.3_Lag_0,Mu,0.2973241299530009
A_3_Mu_0.3_Lag_0,A,3.010569065829094
A_3_Mu_0.3_Lag_2,Lag,2.0665646459325884
A_3_Mu_0.3_Lag_2,Mu,0.30336670878483024
A_3_Mu_0.3_Lag_2,A,3.009710412934875
A_3_Mu_0.3_Lag_4,Lag,3.995852090299758
A_3_Mu_0.3_Lag_4,Mu,0.3001022024790528
A_3_Mu_0.3_Lag_4,A,3.003477800178899
A_3_Mu_0.3_Lag_6,Lag,5.970632848002553
A_3_Mu_0.3_Lag_6,Mu,0.2968593022095054
A_3_Mu_0.3_Lag_6,A,3.0028833275052094
A_3_Mu_0.3_Lag_8,Lag,8.039205821714535
A_3_Mu_0.3_Lag_8,Mu,0.300842028004889
A_3_Mu_0.3_Lag_8,A,3.009157539556378
A_3_Mu_0.3_Lag_10,Lag,10.037384009347454
A_3_Mu_0.3_Lag_10,Mu,0.3007489305588502
A_3_Mu_0.3_Lag_10,A,3.0063722648138036
A_3_Mu_0.4_Lag_0,Lag,-0.009636440567858789
A_3_Mu_0.4_Lag_0,Mu,0.396703889690367
A_3_Mu_0.4_Lag_0,A,3.01213493868872
A_3_Mu_0.4_Lag_2,Lag,1.9862492096928317
A_3_Mu_0.4_Lag_2,Mu,0.39865517113906596
A_3_Mu_0.4_Lag_2,A,3.008889439504988
A_3_Mu_0.4_Lag_4,Lag,3.9666009383831633
A_3_Mu_0.4_Lag_4,Mu,0.39476388177183624
A_3_Mu_0.4_Lag_4,A,3.0126326477316385
A_3_Mu_0.4_Lag_6,Lag,6.011993183991946
A_3_Mu_0.4_Lag_6,Mu,0.40062083178714536
A_3_Mu_0.4_Lag_6,A,3.011588984427921
A_3_Mu_0.4_Lag_8,Lag,7.935998647586826
A_3_Mu_0.4_Lag_8,Mu,0.39067651902816075
A_3_Mu_0.4_Lag_8,A,3.0077340019672785
A_3_Mu_0.4_Lag_10,Lag,9.989216312272681
A_3_Mu_0.4_Lag_10,Mu,0.3950609771914732
A_3_Mu_0.4_Lag_10,A,3.0074399493411983
A_3_Mu_0.5_Lag_0,Lag,-0.011410743699741347
A_3_Mu_0.5_Lag_0,Mu,0.49737973817203884
A_3_Mu_0.5_Lag_0,A,3.0085138119308787
A_3_Mu_0.5_Lag_2,Lag,2.0077644249103748
A_3_Mu_0.5_Lag_2,Mu,0.49913216576241576
A_3_Mu_0.5_Lag_2,A,3.009855863540544
A_3_Mu_0.5_Lag_4,Lag,3.9709361823229097
A_3_Mu_0.5_Lag_4,Mu,0.4902695651432738
A_3_Mu_0.5_Lag_4,A,3.0089077198978584
A_3_Mu_0.5_Lag_6,Lag,5.995856607672649
A_3_Mu_0.5_Lag_6,Mu,0.501258961424802
A_3_Mu_0.5_Lag_6,A,3.0077722198030257
A_3_Mu_0.5_Lag_8,Lag,7.979762579275432
A_3_Mu_0.5_Lag_8,Mu,0.4957546646212498
A_3_Mu_0.5_Lag_8,A,3.0151388954244576
A_3_Mu_0.5_Lag_10,Lag,9.983039570533515
A_3_Mu_0.5_Lag_10,Mu,0.49447373730119076
A_3_Mu_0.5_Lag_10,A,3.0094817630603465
A_3_Mu_0.6_Lag_0,Lag,-0.04388650098287166
A_3_Mu_0.6_Lag_0,Mu,0.5911143582049965
A_3_Mu_0.6_Lag_0,A,3.0150618984719917
A_3_Mu_0.6_Lag_2,Lag,2.012697729115172
A_3_Mu_0.6_Lag_2,Mu,0.5971673745451568
A_3_Mu_0.6_Lag_2,A,3.0100978135213716
A_3_Mu_0.6_Lag_4,Lag,4.020980411645914
A_3_Mu_0.6_Lag_4,Mu,0.6001525270681064
A_3_Mu_0.6_Lag_4,A,3.0100357485751763
A_3_Mu_0.6_Lag_6,Lag,5.976232465350442
A_3_Mu_0.6_Lag_6,Mu,0.5859917916632594
A_3_Mu_0.6_Lag_6,A,3.0094489745902484
A_3_Mu_0.6_Lag_8,Lag,7.965597432854307
A_3_Mu_0.6_Lag_8,Mu,0.5939262905305711
A_3_Mu_0.6_Lag_8,A,3.0062358924037937
A_3_Mu_0.6_Lag_10,Lag,9.956537659696897
A_3_Mu_0.6_Lag_10,Mu,0.584360644991496
